tagID,animateType,name,tagAddr,no
TAG_1_37_2,changeImageGroup,F03_1_1_37_2_T,http://192.168.245.3:9898/monitor/lighting/1_37_2,132
TAG_1_37_3,changeImageGroup,F03_1_1_37_3_T,http://192.168.245.3:9898/monitor/lighting/1_37_3,133
TAG_1_37_4,changeImageGroup,F03_1_1_37_4_T,http://192.168.245.3:9898/monitor/lighting/1_37_4,134
TAG_1_38_1,changeImageGroup,F03_1_1_38_1_T,http://192.168.245.3:9898/monitor/lighting/1_38_1,135
TAG_1_38_2,changeImageGroup,F03_1_1_38_2_T,http://192.168.245.3:9898/monitor/lighting/1_38_2,136
TAG_1_38_3,changeImageGroup,F03_1_1_38_3_T,http://192.168.245.3:9898/monitor/lighting/1_38_3,137
TAG_1_38_4,changeImageGroup,F03_1_1_38_4_T,http://192.168.245.3:9898/monitor/lighting/1_38_4,138
TAG_1_39_1,changeImageGroup,F03_1_1_39_1_T,http://192.168.245.3:9898/monitor/lighting/1_39_1,139
TAG_1_39_2,changeImageGroup,F03_1_1_39_2_T,http://192.168.245.3:9898/monitor/lighting/1_39_2,140
TAG_1_39_3,changeImageGroup,F03_1_1_39_3_T,http://192.168.245.3:9898/monitor/lighting/1_39_3,141
TAG_1_39_4,changeImageGroup,F03_1_1_39_4_T,http://192.168.245.3:9898/monitor/lighting/1_39_4,142
TAG_1_4,changeImageGroup,ALL_1_1_4_G,http://192.168.245.3:9898/monitor/lighting/1_4,143
TAG_1_4_1,changeImageGroup,F02_1_1_4_1_T,http://192.168.245.3:9898/monitor/lighting/1_4_1,144
TAG_1_4_2,changeImageGroup,F02_1_1_4_2_T,http://192.168.245.3:9898/monitor/lighting/1_4_2,145
TAG_1_4_3,changeImageGroup,F02_1_1_4_3_T,http://192.168.245.3:9898/monitor/lighting/1_4_3,146
TAG_1_4_4,changeImageGroup,F02_1_1_4_4_T,http://192.168.245.3:9898/monitor/lighting/1_4_4,147
TAG_1_40_1,changeImageGroup,F03_1_1_40_1_T,http://192.168.245.3:9898/monitor/lighting/1_40_1,148
TAG_1_40_2,changeImageGroup,F03_1_1_40_2_T,http://192.168.245.3:9898/monitor/lighting/1_40_2,149
TAG_1_40_3,changeImageGroup,F03_1_1_40_3_T,http://192.168.245.3:9898/monitor/lighting/1_40_3,150
TAG_1_40_4,changeImageGroup,F03_1_1_40_4_T,http://192.168.245.3:9898/monitor/lighting/1_40_4,151
TAG_1_41_1,changeImageGroup,F03_1_1_41_1_T,http://192.168.245.3:9898/monitor/lighting/1_41_1,152
TAG_1_41_2,changeImageGroup,F03_1_1_41_2_T,http://192.168.245.3:9898/monitor/lighting/1_41_2,153
TAG_1_41_3,changeImageGroup,F03_1_1_41_3_T,http://192.168.245.3:9898/monitor/lighting/1_41_3,154
TAG_1_41_4,changeImageGroup,untitle_1_1_41_4_T,http://192.168.245.3:9898/monitor/lighting/1_41_4,155
TAG_1_42_1,changeImageGroup,untitle_1_1_42_1_T,http://192.168.245.3:9898/monitor/lighting/1_42_1,156
TAG_1_42_2,changeImageGroup,untitle_1_1_42_2_T,http://192.168.245.3:9898/monitor/lighting/1_42_2,157
TAG_1_42_3,changeImageGroup,F01_1_1_42_3_T,http://192.168.245.3:9898/monitor/lighting/1_42_3,158
TAG_1_42_4,changeImageGroup,untitle_1_1_42_4_T,http://192.168.245.3:9898/monitor/lighting/1_42_4,159
TAG_1_43_1,changeImageGroup,F02_1_1_43_1_T,http://192.168.245.3:9898/monitor/lighting/1_43_1,160
TAG_1_43_2,changeImageGroup,F02_1_1_43_2_T,http://192.168.245.3:9898/monitor/lighting/1_43_2,161
TAG_1_43_3,changeImageGroup,F02_1_1_43_3_T,http://192.168.245.3:9898/monitor/lighting/1_43_3,162
TAG_1_43_4,changeImageGroup,F02_1_1_43_4_T,http://192.168.245.3:9898/monitor/lighting/1_43_4,163
TAG_1_44_1,changeImageGroup,F02_1_1_44_1_T,http://192.168.245.3:9898/monitor/lighting/1_44_1,164
TAG_1_44_2,changeImageGroup,untitle_1_1_44_2_T,http://192.168.245.3:9898/monitor/lighting/1_44_2,165
TAG_1_44_3,changeImageGroup,F02_1_1_44_3_T,http://192.168.245.3:9898/monitor/lighting/1_44_3,166
TAG_1_44_4,changeImageGroup,F02_1_1_44_4_T,http://192.168.245.3:9898/monitor/lighting/1_44_4,167
TAG_1_45_1,changeImageGroup,F02_1_1_45_1_T,http://192.168.245.3:9898/monitor/lighting/1_45_1,168
TAG_1_45_2,changeImageGroup,F02_1_1_45_2_T,http://192.168.245.3:9898/monitor/lighting/1_45_2,169
TAG_1_45_3,changeImageGroup,F02_1_1_45_3_T,http://192.168.245.3:9898/monitor/lighting/1_45_3,170
TAG_1_45_4,changeImageGroup,F02_1_1_45_4_T,http://192.168.245.3:9898/monitor/lighting/1_45_4,171
TAG_1_46_1,changeImageGroup,F02_1_1_46_1_T,http://192.168.245.3:9898/monitor/lighting/1_46_1,172
TAG_1_46_2,changeImageGroup,F02_1_1_46_2_T,http://192.168.245.3:9898/monitor/lighting/1_46_2,173
TAG_1_46_3,changeImageGroup,F02_1_1_46_3_T,http://192.168.245.3:9898/monitor/lighting/1_46_3,174
TAG_1_46_4,changeImageGroup,F02_1_1_46_4_T,http://192.168.245.3:9898/monitor/lighting/1_46_4,175
TAG_1_47_1,changeImageGroup,F02_1_1_47_1_T,http://192.168.245.3:9898/monitor/lighting/1_47_1,176
TAG_1_47_2,changeImageGroup,F02_1_1_47_2_T,http://192.168.245.3:9898/monitor/lighting/1_47_2,177
