animateType,name,no,tagAddr,tagID,interval
changeTextFloor_1,FCU.6F.6.실내온도,975,http://192.168.245.3:9898/monitor/hvac/2010_0_17,TAG_2010_0_17,3600000
changeTextFloor_1,FCU.7F.실내온도,976,http://192.168.245.3:9898/monitor/hvac/2010_0_18,TAG_2010_0_18,3600000
changeTextFloor_1,공조기10.외기댐퍼,977,http://192.168.245.3:9898/monitor/hvac/2010_1_1,TAG_2010_1_1,NULL
changeTextFloor_1,공조기10.배기댐퍼,978,http://192.168.245.3:9898/monitor/hvac/2010_1_2,TAG_2010_1_2,NULL
changeTextFloor_1,공조기10.혼합댐퍼,979,http://192.168.245.3:9898/monitor/hvac/2010_1_3,TAG_2010_1_3,NULL
changeTextFloor_0,공조기10.냉방밸브,980,http://192.168.245.3:9898/monitor/hvac/2010_1_4,TAG_2010_1_4,NULL
changeTextFloor_0,공조기10.난방밸브,981,http://192.168.245.3:9898/monitor/hvac/2010_1_5,TAG_2010_1_5,NULL
changeTextFloor_0,공조기10.가습밸브,982,http://192.168.245.3:9898/monitor/hvac/2010_1_6,TAG_2010_1_6,NULL
changeTextFloor_0,공조기10.급기인버터,983,http://192.168.245.3:9898/monitor/hvac/2010_1_7,TAG_2010_1_7,NULL
changeTextFloor_0,공조기10.환기인버터,984,http://192.168.245.3:9898/monitor/hvac/2010_1_8,TAG_2010_1_8,NULL
changeTextFloor_0,FCU.6F.1-3.난방밸브,985,http://192.168.245.3:9898/monitor/hvac/2010_1_9,TAG_2010_1_9,NULL
changeTextFloor_0,FCU.6F.1-3.냉방밸브,986,http://192.168.245.3:9898/monitor/hvac/2010_1_10,TAG_2010_1_10,NULL
changeTextFloor_0,FCU.6F.4-6.난방밸브,987,http://192.168.245.3:9898/monitor/hvac/2010_1_11,TAG_2010_1_11,NULL
changeTextFloor_0,FCU.6F.4-6.냉방밸브,988,http://192.168.245.3:9898/monitor/hvac/2010_1_12,TAG_2010_1_12,NULL
changeTextFloor_1,공조기10.댐퍼최소치,989,http://192.168.245.3:9898/monitor/hvac/2010_2_1,TAG_2010_2_1,NULL
changeTextFloor_0,공조기10.실외엔탈피,990,http://192.168.245.3:9898/monitor/hvac/2010_2_2,TAG_2010_2_2,NULL
changeTextFloor_0,공조기10.실내엔탈피,991,http://192.168.245.3:9898/monitor/hvac/2010_2_3,TAG_2010_2_3,NULL
changeTextFloor_1,공조기10.설정정압,992,http://192.168.245.3:9898/monitor/hvac/2010_2_4,TAG_2010_2_4,NULL
changeTextFloor_1,공조기10.설정온도,993,http://192.168.245.3:9898/monitor/hvac/2010_2_5,TAG_2010_2_5,3600000
changeTextFloor_1,공조기10.설정습도,994,http://192.168.245.3:9898/monitor/hvac/2010_2_6,TAG_2010_2_6,3600000
changeTextFloor_1,공조기10.V혼합댐퍼,995,http://192.168.245.3:9898/monitor/hvac/2010_2_7,TAG_2010_2_7,NULL
changeTextFloor_1,FCU23.설정온도,996,http://192.168.245.3:9898/monitor/hvac/2010_2_8,TAG_2010_2_8,3600000
