id,date_time,date_type,interval,no,subject,tagids,value_type
123,2016-01-27 00:00:01,c,DAY,123,LV1_W_PREVIOUS_DAY 일별 그래프,LV1_W_PREVIOUS_DAY:TAG_4560_2_304,AVG
124,2016-01-27 00:00:01,c,DAY,124,LV1_W_PREVIOUS_MONTH 일별 그래프,LV1_W_PREVIOUS_MONTH:TAG_4560_2_305,AVG
125,2016-01-27 00:00:01,c,DAY,125,LV1_W_PREVIOUS_YEAR 일별 그래프,LV1_W_PREVIOUS_YEAR:TAG_4560_2_306,AVG
126,2016-01-27 00:00:01,c,DAY,126,LV1_W_TODAY 일별 그래프,LV1_W_TODAY:TAG_4560_2_307,AVG
127,2016-01-27 00:00:01,c,DAY,127,LV1_W_YEAR 일별 그래프,LV1_W_YEAR:TAG_4560_2_308,AVG
128,2016-01-27 00:00:01,c,DAY,128,LV4_W_MONTH 일별 그래프,LV4_W_MONTH:TAG_4560_2_309,AVG
129,2016-01-27 00:00:01,c,DAY,129,HV6_WH_PREVIOUS_DAY 일별 그래프,HV6_WH_PREVIOUS_DAY:TAG_4560_2_31,AVG
130,2016-01-27 00:00:01,c,DAY,130,LV4_W_PREVIOUS_DAY 일별 그래프,LV4_W_PREVIOUS_DAY:TAG_4560_2_310,AVG
131,2016-01-27 00:00:01,c,DAY,131,LV4_W_PREVIOUS_MONTH 일별 그래프,LV4_W_PREVIOUS_MONTH:TAG_4560_2_311,AVG
132,2016-01-27 00:00:01,c,DAY,132,LV4_W_PREVIOUS_YEAR 일별 그래프,LV4_W_PREVIOUS_YEAR:TAG_4560_2_312,AVG
133,2016-01-27 00:00:01,c,DAY,133,LV4_W_TODAY 일별 그래프,LV4_W_TODAY:TAG_4560_2_313,AVG
134,2016-01-27 00:00:01,c,DAY,134,LV4_W_YEAR 일별 그래프,LV4_W_YEAR:TAG_4560_2_314,AVG
135,2016-01-27 00:00:01,c,DAY,135,LV8_W_MONTH 일별 그래프,LV8_W_MONTH:TAG_4560_2_315,AVG
136,2016-01-27 00:00:01,c,DAY,136,LV8_W_PREVIOUS_DAY 일별 그래프,LV8_W_PREVIOUS_DAY:TAG_4560_2_316,AVG
137,2016-01-27 00:00:01,c,DAY,137,LV8_W_PREVIOUS_MONTH 일별 그래프,LV8_W_PREVIOUS_MONTH:TAG_4560_2_317,AVG
138,2016-01-27 00:00:01,c,DAY,138,LV8_W_PREVIOUS_YEAR 일별 그래프,LV8_W_PREVIOUS_YEAR:TAG_4560_2_318,AVG
139,2016-01-27 00:00:01,c,DAY,139,LV8_W_TODAY 일별 그래프,LV8_W_TODAY:TAG_4560_2_319,AVG
