animateType,name,no,tagAddr,tagID,interval,criteria
NULL,apcUpsConfigFieldOID.8,93,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.8,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.8,NULL,NULL
NULL,apcUpsConfigFieldOID.9,94,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.9,1.3.6.1.4.1.318.1.1.1.5.2.16.1.2.9,NULL,NULL
NULL,apcUpsConfigFieldValueRange.1,95,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.1,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.1,NULL,NULL
NULL,apcUpsConfigFieldValueRange.2,96,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.2,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.2,NULL,NULL
NULL,apcUpsConfigFieldValueRange.3,97,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.3,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.3,NULL,NULL
NULL,apcUpsConfigFieldValueRange.4,98,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.4,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.4,NULL,NULL
NULL,apcUpsConfigFieldValueRange.5,99,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.5,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.5,NULL,NULL
NULL,apcUpsConfigFieldValueRange.6,100,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.6,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.6,NULL,NULL
NULL,apcUpsConfigFieldValueRange.7,101,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.7,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.7,NULL,NULL
NULL,apcUpsConfigFieldValueRange.8,102,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.8,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.8,NULL,NULL
